question,answer
Triệu chứng đau ngực có nguy hiểm không?,Triệu chứng đau ngực có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Bệnh viện có khoa Sản không?,"Có, bệnh viện có chuyên khoa Sản."
Tôi có thể đặt lịch khám Y học cổ truyền ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Y học cổ truyền qua website hoặc tổng đài.
Triệu chứng đau lưng có nguy hiểm không?,Triệu chứng đau lưng có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Giá khám ở khoa Tai Mũi Họng là bao nhiêu?,Chi phí khám ở khoa Tai Mũi Họng phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Khoa Tim mạch làm việc khi nào?,"Khoa Tim mạch làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Giá khám ở khoa Da liễu là bao nhiêu?,Chi phí khám ở khoa Da liễu phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Triệu chứng phát ban có nguy hiểm không?,Triệu chứng phát ban có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
"Tôi bị chán ăn, đau lưng, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Bệnh viện có khoa Phục hồi chức năng không?,"Có, bệnh viện có chuyên khoa Phục hồi chức năng."
Khoa Cơ xương khớp làm việc khi nào?,"Khoa Cơ xương khớp làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Tôi cần tư vấn về tiểu đường,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về tiểu đường.
Tôi muốn gặp bác sĩ chuyên về viêm khớp,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Cơ xương khớp.
Triệu chứng ngứa có nguy hiểm không?,Triệu chứng ngứa có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Tôi cần tư vấn về viêm da,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về viêm da.
Tôi muốn gặp bác sĩ chuyên về đau thần kinh tọa,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Thần kinh.
Tôi có thể đặt lịch khám Cơ xương khớp ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Cơ xương khớp qua website hoặc tổng đài.
Khoa Da liễu làm việc khi nào?,"Khoa Da liễu làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Bệnh viện có khoa Sản không?,"Có, bệnh viện có chuyên khoa Sản."
Khoa Thần kinh làm việc khi nào?,"Khoa Thần kinh làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
"Tôi bị chán ăn, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Tai Mũi Họng để được bác sĩ thăm khám.
Khoa Hô hấp làm việc khi nào?,"Khoa Hô hấp làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
"Tôi bị đau bụng, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Tiêu hóa để được bác sĩ thăm khám.
Bệnh viện có khoa Thần kinh không?,"Có, bệnh viện có chuyên khoa Thần kinh."
Dịch vụ chụp X-quang có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ chụp X-quang."
Giá khám ở khoa Tiêu hóa là bao nhiêu?,Chi phí khám ở khoa Tiêu hóa phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Giá khám ở khoa Tim mạch là bao nhiêu?,Chi phí khám ở khoa Tim mạch phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
"Tôi bị sốt, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Tim mạch để được bác sĩ thăm khám.
Triệu chứng đau khớp có nguy hiểm không?,Triệu chứng đau khớp có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Tôi cần tư vấn về viêm khớp,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về viêm khớp.
Tôi cần tư vấn về viêm phổi,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về viêm phổi.
Tôi cần tư vấn về cao huyết áp,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về cao huyết áp.
"Tôi bị chóng mặt, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Nội để được bác sĩ thăm khám.
"Tôi bị sưng khớp, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Phục hồi chức năng để được bác sĩ thăm khám.
Dịch vụ nội soi có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ nội soi."
Bệnh viện có khoa Răng Hàm Mặt không?,"Có, bệnh viện có chuyên khoa Răng Hàm Mặt."
Giá khám ở khoa Tiêu hóa là bao nhiêu?,Chi phí khám ở khoa Tiêu hóa phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Tôi cần tư vấn về đau dạ dày,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về đau dạ dày.
Khoa Da liễu làm việc khi nào?,"Khoa Da liễu làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Tôi có thể đặt lịch khám Cơ xương khớp ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Cơ xương khớp qua website hoặc tổng đài.
Dịch vụ khám tổng quát có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ khám tổng quát."
Tôi muốn gặp bác sĩ chuyên về đau thần kinh tọa,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Tai Mũi Họng.
Tôi cần tư vấn về cao huyết áp,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về cao huyết áp.
Dịch vụ siêu âm có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ siêu âm."
Bệnh viện có khoa Y học cổ truyền không?,"Có, bệnh viện có chuyên khoa Y học cổ truyền."
"Tôi bị phát ban, chóng mặt, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Tôi cần tư vấn về viêm da,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về viêm da.
"Tôi bị đau bụng, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Y học cổ truyền để được bác sĩ thăm khám.
Tôi có thể đặt lịch khám Tiêu hóa ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Tiêu hóa qua website hoặc tổng đài.
Tôi cần tư vấn về đau dạ dày,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về đau dạ dày.
Bệnh viện có khoa Phục hồi chức năng không?,"Có, bệnh viện có chuyên khoa Phục hồi chức năng."
Giá khám ở khoa Tim mạch là bao nhiêu?,Chi phí khám ở khoa Tim mạch phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
"Tôi bị ho, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Y học cổ truyền để được bác sĩ thăm khám.
Tôi cần tư vấn về viêm gan,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về viêm gan.
