question,answer
"Xin chào","Chào bạn! Tôi có thể giúp gì cho bạn hôm nay?"
"Bệnh viện có những chuyên khoa nào?","Bệnh viện chúng tôi có các chuyên khoa Nội, Ngoại, Nhi, Sản, Tim mạch, Hô hấp, Tiêu hóa, Cơ xương khớp, Thần kinh, Da liễu, Tai Mũi Họng, Răng Hàm Mặt, Mắt, Y học cổ truyền và Phục hồi chức năng."
"Lịch làm việc của bệnh viện như thế nào?","Bệnh viện làm việc từ Thứ Hai đến Thứ Bảy, từ 7h30 đến 17h00. Chủ Nhật nghỉ."
"Tôi muốn đặt lịch khám bệnh","Vui lòng đăng nhập hoặc đăng ký tài khoản để sử dụng chức năng đặt lịch hẹn trực tuyến. Nếu cần hỗ trợ thêm, bạn có thể gọi điện đến tổng đài."
"Làm sao để liên hệ với bệnh viện?","Bạn có thể gọi đến số điện thoại [Số điện thoại bệnh viện] hoặc gửi email đến địa chỉ [Email bệnh viện]. Thông tin liên hệ chi tiết có trên trang web."
"Bệnh viện có khám bảo hiểm y tế không?","Có, bệnh viện chấp nhận khám chữa bệnh bằng bảo hiểm y tế theo quy định."
"Chi phí khám bệnh là bao nhiêu?","Chi phí khám bệnh phụ thuộc vào chuyên khoa và các dịch vụ đi kèm. Vui lòng tham khảo bảng giá chi tiết tại quầy lễ tân hoặc trên trang web."
"Tôi muốn biết thông tin về bác sĩ [Tên bác sĩ]","Để tra cứu thông tin chi tiết về bác sĩ, vui lòng sử dụng chức năng tìm kiếm bác sĩ trên trang web hoặc liên hệ với bộ phận chăm sóc khách hàng."
"Quy trình khám bệnh tại bệnh viện?","Quy trình khám bệnh bao gồm: Đăng ký -> Chờ khám -> Khám lâm sàng -> Chỉ định xét nghiệm/chẩn đoán hình ảnh (nếu cần) -> Chờ kết quả -> Bác sĩ kết luận -> Thanh toán -> Lấy thuốc (nếu có) hoặc ra về."
"Tôi bị sốt và ho","Bạn nên đến chuyên khoa Hô hấp hoặc Nội Tổng quát để được bác sĩ thăm khám và tư vấn cụ thể."
"Tôi muốn xét nghiệm máu","Bạn có thể đến phòng xét nghiệm của bệnh viện vào giờ hành chính. Vui lòng nhịn ăn sáng nếu được yêu cầu."
"Làm thế nào để lấy kết quả xét nghiệm?","Bạn có thể nhận kết quả xét nghiệm trực tiếp tại phòng xét nghiệm hoặc tra cứu trực tuyến trên hệ thống của bệnh viện (nếu có dịch vụ này)."
"Bệnh viện có dịch vụ cấp cứu không?","Có, bệnh viện có khoa Cấp cứu hoạt động 24/7."
"Địa chỉ bệnh viện ở đâu?","Địa chỉ bệnh viện tại [Địa chỉ cụ thể của bệnh viện]. Bạn có thể xem bản đồ trên trang Liên hệ của website."
"Bệnh viện có chỗ đậu xe không?","Có, bệnh viện có khu vực đậu xe cho bệnh nhân và người nhà."
"Tôi muốn phản ánh về dịch vụ","Vui lòng liên hệ bộ phận Chăm sóc khách hàng hoặc điền vào phiếu góp ý tại quầy lễ tân."
"Bệnh viện có Wi-Fi miễn phí không?","Có, bệnh viện cung cấp Wi-Fi miễn phí cho bệnh nhân và người nhà."
"Làm sao để thanh toán viện phí?","Bạn có thể thanh toán viện phí bằng tiền mặt hoặc chuyển khoản tại quầy thu ngân."
"Tôi bị đau đầu buồn nôn","Bạn nên đi khám ở chuyên khoa Thần kinh hoặc Nội Tổng quát."
"Khám sức khỏe tổng quát","Bệnh viện có các gói khám sức khỏe tổng quát. Vui lòng liên hệ để được tư vấn chi tiết về các gói khám."
"Tôi muốn đổi lịch hẹn","Vui lòng đăng nhập vào tài khoản hoặc liên hệ tổng đài để được hỗ trợ đổi lịch hẹn."
"Bệnh viện có khám Chủ Nhật không?","Không, bệnh viện nghỉ làm việc vào Chủ Nhật."
"Làm sao để xem kết quả khám bệnh online?","Nếu bệnh viện có hệ thống tra cứu kết quả trực tuyến, bạn sẽ được cung cấp thông tin đăng nhập khi khám."
"Tôi muốn biết thông tin về bệnh X","Vui lòng cung cấp thêm thông tin về bệnh hoặc triệu chứng để tôi có thể cung cấp thông tin tổng quát. Tuy nhiên, lời khuyên y tế chính xác nhất đến từ bác sĩ."
"Tư vấn dinh dưỡng","Bệnh viện có chuyên gia dinh dưỡng. Bạn có thể đặt lịch hẹn để được tư vấn."
"Lịch tiêm chủng cho trẻ em","Vui lòng liên hệ chuyên khoa Nhi để được tư vấn về lịch tiêm chủng cho trẻ."
"Bệnh viện có nhận khám ngoài giờ không?","Hiện tại bệnh viện làm việc đến 17h00. Các trường hợp cấp cứu vui lòng đến khoa Cấp cứu."
"Tôi cần tư vấn về phẫu thuật [Loại phẫu thuật]","Bạn cần được bác sĩ chuyên khoa thăm khám và tư vấn trực tiếp về trường hợp cụ thể của bạn."
"Thời gian chờ khám có lâu không?","Thời gian chờ khám phụ thuộc vào số lượng bệnh nhân và chuyên khoa. Bạn nên đặt lịch hẹn trước để giảm thời gian chờ."
"Tôi muốn làm thẻ BHYT","Bệnh viện là nơi khám chữa bệnh, không phải nơi làm thẻ BHYT. Bạn cần liên hệ cơ quan Bảo hiểm Xã hội để làm thẻ."
"Tôi bị đau bụng","Bạn nên đến chuyên khoa Tiêu hóa hoặc Nội Tổng quát để được thăm khám."
